layer,total_return_pct,annualized_return_pct,max_drawdown_pct,sharpe,sortino,win_rate_pct,num_trades,avg_trade_duration_bars
price_action_only,-84.75066822048024,-82.06160442513763,-85.29329985854186,-4.8899776163763615,-3.463185610427213,34.440154440154444,1295,6.102702702702703
rsi_only,-11.253078509940039,-10.333406322504713,-28.605154850621638,-0.35030833777954384,-0.16152546319977182,47.05882352941176,408,10.29656862745098
volume_only,-87.63792148483792,-85.19199295643217,-88.67113035407824,-5.037498479578047,-3.7668843479786216,33.28255902513328,1313,6.440974866717441
confluence_2of3,0.05164345196497777,0.04718257749851684,-4.230377957065934,0.033396442889583544,0.0030597395218912365,50.0,24,8.916666666666666
buy_and_hold,-34.70930413937955,-32.26075384619347,-53.736298967403194,-0.7015162502154961,-0.9129981968203946,0.0,0,0.0
